Xiaomi,Mi 10,799
Xiaomi,Mi 11,750
Xiaomi,Mi 11 Ultra,1200
Redmi,9,200
Redmi,Note 9,149
Redmi,Note 10,200
POCOPHONE,F2 Pro,530
POCOPHONE,F3,370
POCOPHONE,X3 Pro,300
