XIAOMI,Mi 10,799
XIAOMI,Mi 11,750
XIAOMI,Mi 11 Ultra,1200
REDMI,9,200
REDMI,Note 9,149
REDMI,Note 10,200
POCO,F2 Pro,530
POCO,F3,370
POCO,X3 Pro,300
